address,allocation
0x12eba16527aa9196e850a633f422594ad60dbfbe,625
0x134abf8bff5dcb66a7fee8a71119646bf645f232,3218
0x1367f02b705815474f537e1cf2ace8438c2d66ae,1220
0x136f6c5d31626ed44bfe835c6f2515c56ca22768,19978
0x137b33356bdfff00b142bffe164ac4efb63a8952,3830
0x13b3bb9392384a677c6d81f67a138a2c317256c6,13741
0x13b6be260492b06fe8a825937cc95f1199662c9f,2100
0x13b86a16cb16acf9628aa9c330eec706b6041836,13029
0x13d3b203f0b00839683c9de05daecf9375d796a5,50671
0x13e56024b617a5f8ce6b4b0cbde4d37772b1652d,3000
0x13e56af571551f58a2e25899113f8edad74b05ff,1746
0x13f117a7d695caba9ee1d49917817196e81a0fa0,127
0x142c7067ec8ae038070c72e34cdf0fa7d307c2b3,60000
0x147d1ed45b368ab4a0191ff65f54f89758254414,66960
0x147d961b7bc4f451e823fe32099555179eb62cd1,741
0x14af12c11fa2fc702add3a5f65143bc1158871e4,1201
0x14b7ee3128b7dc445a331f67971953ad9ca48370,8137
0x14beb4a736ab52490fff69ced7fc185d947c42b5,1056
0x14c48e456ec511302649bed13ce7e5be4995382c,6
0x14c6ed84579ac9334340efde6069e2b2fff382c1,1
0x14f17987b2e94799584506725116742589ded0da,962410
0x14f412a72cbb13b889d6fe94be9bd46fea3c8879,10000
0x150259f2c98ff8c1480b34516bcef07798222767,1866
0x152dffc6416fafc1a030f24b06c609f7fdc591de,2000
0x1531eeb1c8c86e1a1f782c6407415882ee0571fb,75262
0x153af78e10dc4308366028d76007212db0377310,720
0x155324a7eceb25cd47fe0aab9da458dca9843595,101
0x155498123779b7710617e4d52c7c7084040b3fa4,18498
0x1578619eab637cbcc8fec79a2e284f073edd3151,10917
0x158cad0e2dc87435a5bbe5ec2f0bd7aa6d352b1b,140
0x15986db2908b6059e272679b2e367e6e80a72f3b,20
0x159beec4eb70707167dae8af118e3edb76ca6120,355000
0x15b5e76375f0e2dd977af11a6371a7e85afd1ea3,8
0x15b6f58786c09ef7db44760eb81cfe17b7965adf,100
0x15e86213ba0ca51665941d8fc95b55629b989dc3,18216
0x16137102191020cb96395a4474bdc750c1d936c4,7310
0x1634d29363d1a3e042a2f6bbfc7b661df0cb2f41,410
0x16537e6e4f5b22a1577469cc49cb4aea139bdd7e,5028
0x16550a93bff9c2460972244e25cb02630807874b,6708
0x165eb29de5f4d6fd21505a59cccdbaf0728d67c7,5
0x1684b495436f86f9246f4aed9dfb90ead7554a31,275
0x16885edc8314568e0370da9d8b20864c6121e3e1,434
0x16cc982635037dfde5df27ea148978734266b482,671
0x16d1342f4472ea66aed52f4294ccf54e70179748,1199
0x16d4c30002b5355212bc123821d9aa61d1c072b7,83833
0x16e2bd3e1b7864c128db42ce1b0d3f4a0eed2531,2294
0x16ea1f673e01419ba9af51365b88138ac492489a,19
0x16f987e169307f144bd3515966b5586a5eca7a44,84000
0x1717022a9050c819b38353c627ac6d674b83254e,75
0x17383fca2a55f2aebd6073e69f16ea713addb75b,7000980
0x17406d74c5e04c4040e77cd6d3d5a6f0ac25426e,140613
0x176f5d9723046d53b8f2c00161ca04e3e8166b6c,35
0x179597fca7bf05683844d91eb9cfdf5f00b6c450,1300
0x179db9068c45e6617c13176c4c5082c9e5e347fc,400
0x17b83a56885b75414839f580984e466015ea7454,1520
0x17db17e10bcc91d47b07444f2283c9c7e66cb9eb,4860
0x17de00c955665b4148ef89022794555ccfcfb48f,691
0x180cbf657174b9a4f59eb6101728fecc9a88140d,7
0x180fe1f9b738d78b22f1ceaaae62eeec6e3172a9,61776
0x183c5f40bd03d8c11264499ee22ccfc725c00d10,150
0x1841004507f1243f6270a68104065071d8197189,49873
0x184ef1e47cbf50f871b91389f6ad494f4ac00680,1154686
0x1877b4c016f6931794b4e397f168e2a56f5a4e99,6
0x1879851f0f89b14df436abf42814575060faefa1,16293
0x18890da5e291c9c4221fee91feb8a62729621e0b,900
0x18a6cbd268eef4ec450af59b7e8bf2710efc5ebb,2500
0x18aed2ff23086c5600060d3c35faac0a720f24da,4000
0x18af5473f7a6e8b1fdbf72d211993de774945a26,100
0x18c5bf7d937181c3f9fe094fb8c9e32c71e67082,250
0x18de0615f1011fdc5590ac029381afe58ae5aa0a,324
0x18e452f02a2d5c3f8473f861482999b24ed08925,1
0x18e802a34f0c81c315616225e538f5ce73a3e950,867
0x18ef6b87b9d34b2bec50c5a64ecb642f5a842d8b,54655
0x18f30d8dc197e812ef61c5543de3d3028fab899f,400
0x18f60730212ce4c96df193cda3412bf24a1f2280,20
0x18f8a6f8683224ac02b3d115a54dca8cb78c911d,94
0x190405f1a739944f5eebfb958fc52b8937578357,7980
0x1911b7f4489ddbd79d6763932381905067e5e15f,376
0x1921739527102e48f5d1b694259d5bc20cea10f4,10574
0x1933f359c005e293fc4521fd9b513bce9e2c3543,2000
0x194696a1577b291e7a6cc4f052878de166e38d74,6000
0x194b515b8532d5873acb3e6beb7d0073886b290d,1
0x194d14941ef5b1372232edb50159c7a01fd49acc,50000
0x195186bb131ba4a41892bb3982dbc688ea5bdd7f,1976
0x197ca15bfc25a2ee921099430ad6511835ac95ad,500
0x19884ea54372c0ba96b147cd85cdbeb2aeaeb198,5400
0x198fcea8f321602ff7d6d62fe8e39f694446e9aa,6000
0x19c0f984b7abc558789c17fb8c4a1d5a43033c97,162
0x19d0c8d87582b472ba73ae17c91b180387dfb18c,3800
0x19d3900447ede24cc640e613c17d1a38053405ed,1300
0x19d3e00eaa758be48762ec5232be997956010509,2
0x19dd472e5308d0b352094937608b0ae4c42b9224,2399
0x19f520df82a6fbb61ea5afd54fccce4c3e4ed767,909
0x1a030413fee0847dc7e7c071f6c059c17f7d944f,26258
0x1a11ddee11d4748425aae0d653203868f41ee756,1023
0x1a22a58d2562552162467a2261bc2ed55530944f,83673
0x1a5a8c7e6c727b90b70e29c31bf3ede5ba824738,3179
0x1a65e1e83f70bfbd3da3a08e3ba5b081e6544156,860
0x1a6bddd4b2c2ebd8df0539c4f3e107fcc1cea977,12637
0x1a8455015ac54eee57cf019ba9b0f9dfdd592ce7,2
0x1a8636b85ca4c20502fafdd38261b2ebb5086f8c,2322
0x1a9f30dae8af5aed216c93244a8c53ebdb2c3b49,253
0x1aa7e20656f755f935223342abfab5a5c2d6fc72,20000
0x1abac9f26d8abd0ee8f410dd51439af9507df981,3738
0x1abf4eed0f5960f474988b35662d9f69058a85bc,50377
0x1adbea0f2f0c50bc339c830a7f4d78091095fc02,3
0x1ae8d4f160736fdcb8ee6bf46061eb537a579a2a,10733
0x1af3333caa2f6321c5f77791ea1adcc0fa2f065b,1276
0x1b0871b89664160214edceb9a008ccd9e0442f91,21516
0x1b4b8daef2cd4c9ad35866e513ae8682f9fba037,839257
0x1b8d42f0451bc9077e58b1681abd874f174f376c,548
0x1bc9dafc4fbdcefb103ecb98f810a63572768041,17158
0x1bd265abe852ef59360381420f2a6b4b391d860b,200
0x1c0c9372f4b7342035bcbc799cfb989b46eabc96,114
0x1c2971b44b6effedb57e89974c669e72c63eb7d8,5
0x1c311e166e62e1d4d480cf14b066533764697b65,55000
0x1c32456d288d5e4cf3542f15f9f6996a6361a632,2090
0x1c4a11c22cb33e93c3c7ceb7f7a10d653cdacf56,1000
0x1c80352b10e7a945eb56ec588fbbc153b7f7a796,464
0x1c8eff858672f3629b3554630b4a6ec9e86d19d7,2231
0x1ca02ace57dcc4a25f31c98dd093355c2cdd0cb5,52500
0x1cb1b7a338eb13a66ce596dcf73ab4d2fd7369cf,442
0x1cb95bb844a6aeca9f38e2312b3ddbc5c8a97606,2300
0x1cd3dfa0e678685a27460a15f361cef30f831306,240000
0x1cd746cc5562922512f2102e840c929345bba193,2
0x1d2e59f28c22cdacdad28eec144f200e91e6f759,1422
0x1d35327c901004c4a702f5ea76682325320270bf,50000
0x1d4cc868c4928e23682d6cc1651366b1fa355f86,1400
0x1d51550c0d7ee326d8bdf93ce5ad7e7cb38b5ea5,450
0x1d5ab4619372f7e81ad8a11ec5a96f702c4f6ce0,15
0x1d77c39728e9d89a8a7e7e042a24973839689edb,16210
0x1d78010ae098d2ddfc01c7306f16776d1409a576,7457
0x1d7db83dd93b04dfed84b5e1778d38316ea7e250,3000
0x1d85bbb3f92591c41ce46aeef3896170edafd7cc,3135
0x1d8744ae309e4f3be2d58b8b03e1c2daee65f984,117
0x1dc80a3dd4f6b71a3a6ac62d08c56c8f65cb8a1f,200
0x1deecf622296bf00529e86836503469db93fcc51,500
0x1e0f92cb2394204753ab7a068df6a1b1200c6f0d,0
0x1e414c67def43bdab1d587f7e7ba38a3252d94f7,955
0x1e73764d9d8da417e0fd4df76b8ad95d0a775d8f,1591
0x1e7ff1b31586d44b69cbde9bd859ab060e912217,914
0x1e893b33b6781076d6f464f25b889caac8ab22fd,801
0x1e98dde3143788210a2f809baaff280a45047e33,13720
0x1eac035133d1a91f72e84b714064f0d375712549,8983
0x1eb67ced78c74fc4c6122d9ee60fea92a91065a2,50000
0x1ede05a124ae0abcb2fe7b1cdaafe2207b3d1afd,69168
0x1f210fdf92ac8d338b3ed96d79a1a335097089e1,9993
0x1f2322a35c577d839b0405f4887829ae000dc91d,152
0x1f3c215e3155f62a5dc7d563ecdf679313a7271d,900
0x1f3d766c0c3c8c085f3f8ca4612619cf51f15f50,478
0x1f5ede527290e2747873c65fadfdb8879c014c05,4
0x1f60e7726d8063b9729496e109c6e4423c0ce669,10435
0x1f635fd19bd90826e49dc288da2df8852af88d29,100
0x1f84f03032503a00b092224ddcd7be2f33dfb10c,100
0x1f96039b0bbbaf703f561058256f9643c552ba57,118400
0x1f9bb7efdffd08e6b44d9e3b818b69853fd30c95,1888
0x1fab0ce7813f7b455b797fa68d7687e95f816568,30000
0x1fac0d8f4dceb6a5b8b92d73acf6d21bf4777005,68
0x1fcdf4c79169d3957d928dca60e06259a830299f,3518
0x1ffa8430e6a0fa7f95ee62ee9a26ef039d841c98,4242
0x20160b6c9de58eeea99ba52cc838fbfe99f41bb7,599
0x2029fa09b07494100af136c3afa6811532099cf1,7
0x203f490ef95057fd16d064a03e71a55359fb8a0f,151000
0x2048c28364cd10636c0f04ffb5bf1849afd500d0,2001
0x206175367ff0bf88670d58032b48787545d5f951,6236
0x2063607da85143d0d98849cf1f62951d42b5c529,26
0x208068a78626362d7695cb133f183e151d73815e,1
0x20aa457a00d7061477234380e07775c80b400869,550
0x20b899ffc06d08966aa0039dd4fe52ba917757bb,7946500
0x20d5565f29c641828cd1a68520327eb8dbc9140a,2000
